省级	地市级	区划代码	地名	区划级别	省会	批注
京		110000	北京市	省级		根据民政部公开2020年底数据
京		110101	东城区	县区		
京		110102	西城区	县区		
京		110105	朝阳区	县区		
京		110106	丰台区	县区		
京		110107	石景山区	县区		
京		110108	海淀区	县区		
京		110109	门头沟区	县区		
京		110111	房山区	县区		
京		110112	通州区	县区	√	
京		110113	顺义区	县区		
京		110114	昌平区	县区		
京		110115	大兴区	县区		
京		110116	怀柔区	县区		
京		110117	平谷区	县区		
京		110118	密云区	县区		
京		110119	延庆区	县区		
津		120000	天津市	省级		
津		120101	和平区	县区		
津		120102	河东区	县区		
津		120103	河西区	县区	√	
津		120104	南开区	县区		
津		120105	河北区	县区		
津		120106	红桥区	县区		
津		120110	东丽区	县区		
津		120111	西青区	县区		
津		120112	津南区	县区		
津		120113	北辰区	县区		
津		120114	武清区	县区		
津		120115	宝坻区	县区		
津		120116	滨海新区	县区		
津		120117	宁河区	县区		
津		120118	静海区	县区		
津		120119	蓟州区	县区		
冀		130000	河北省	省级		
冀	石家庄市	130100	石家庄市	地市级	√	
冀		130102	长安区	县区		
冀		130104	桥西区	县区		
冀		130105	新华区	县区		
冀		130107	井陉矿区	县区		
冀		130108	裕华区	县区		
冀		130109	藁城区	县区		
冀		130110	鹿泉区	县区		
冀		130111	栾城区	县区		
冀		130121	井陉县	县区		
冀		130123	正定县	县区		
冀		130125	行唐县	县区		
冀		130126	灵寿县	县区		
冀		130127	高邑县	县区		
冀		130128	深泽县	县区		
冀		130129	赞皇县	县区		
冀		130130	无极县	县区		
冀		130131	平山县	县区		
冀		130132	元氏县	县区		
冀		130133	赵县	县区		
冀		130181	辛集市	县区		
冀		130183	晋州市	县区		
冀		130184	新乐市	县区		
冀	唐山市	130200	唐山市	地市级		
冀		130202	路南区	县区		
冀		130203	路北区	县区		
冀		130204	古冶区	县区		
冀		130205	开平区	县区		
冀		130207	丰南区	县区		
冀		130208	丰润区	县区		
冀		130209	曹妃甸区	县区		
冀		130224	滦南县	县区		
冀		130225	乐亭县	县区		
冀		130227	迁西县	县区		
冀		130229	玉田县	县区		
冀		130281	遵化市	县区		
冀		130283	迁安市	县区		
冀		130284	滦州市	县区		
冀	秦皇岛市	130300	秦皇岛市	地市级		
冀		130302	海港区	县区		
冀		130303	山海关区	县区		
冀		130304	北戴河区	县区		
冀		130306	抚宁区	县区		
冀		130321	青龙满族自治县	县区		
冀		130322	昌黎县	县区		
冀		130324	卢龙县	县区		
冀	邯郸市	130400	邯郸市	地市级		
冀		130402	邯山区	县区		
冀		130403	丛台区	县区		
冀		130404	复兴区	县区		
冀		130406	峰峰矿区	县区		
冀		130407	肥乡区	县区		
冀		130408	永年区	县区		
冀		130423	临漳县	县区		
冀		130424	成安县	县区		
冀		130425	大名县	县区		
冀		130426	涉县	县区		
冀		130427	磁县	县区		
冀		130430	邱县	县区		
冀		130431	鸡泽县	县区		
冀		130432	广平县	县区		
冀		130433	馆陶县	县区		
冀		130434	魏县	县区		
冀		130435	曲周县	县区		
冀		130481	武安市	县区		
冀	邢台市	130500	邢台市	地市级		
冀		130502	襄都区	县区		
冀		130503	信都区	县区		
冀		130505	任泽区	县区		
冀		130506	南和区	县区		
冀		130522	临城县	县区		
冀		130523	内丘县	县区		
冀		130524	柏乡县	县区		
冀		130525	隆尧县	县区		
冀		130528	宁晋县	县区		
冀		130529	巨鹿县	县区		
冀		130530	新河县	县区		
冀		130531	广宗县	县区		
冀		130532	平乡县	县区		
冀		130533	威县	县区		
冀		130534	清河县	县区		
冀		130535	临西县	县区		
冀		130581	南宫市	县区		
冀		130582	沙河市	县区		
冀	保定市	130600	保定市	地市级		
