省名	区划代码	地名	区划级别	批注	简称	省会
河北	130100	石家庄市	地市级		冀	√
河北	130200	唐山市	地市级		冀	
河北	130300	秦皇岛市	地市级		冀	
河北	130400	邯郸市	地市级		冀	
河北	130500	邢台市	地市级		冀	
河北	130600	保定市	地市级		冀	
河北	130700	张家口市	地市级		冀	
河北	130800	承德市	地市级		冀	
河北	130900	沧州市	地市级		冀	
河北	131000	廊坊市	地市级		冀	
河北	131100	衡水市	地市级		冀	
山西	140100	太原市	地市级		晋	√
山西	140200	大同市	地市级		晋	
山西	140300	阳泉市	地市级		晋	
山西	140400	长治市	地市级		晋	
山西	140500	晋城市	地市级		晋	
山西	140600	朔州市	地市级		晋	
山西	140700	晋中市	地市级		晋	
山西	140800	运城市	地市级		晋	
山西	140900	忻州市	地市级		晋	
山西	141000	临汾市	地市级		晋	
山西	141100	吕梁市	地市级		晋	
内蒙古	150100	呼和浩特市	地市级		蒙	√
内蒙古	150200	包头市	地市级		蒙	
内蒙古	150300	乌海市	地市级		蒙	
内蒙古	150400	赤峰市	地市级		蒙	
内蒙古	150500	通辽市	地市级		蒙	
内蒙古	150600	鄂尔多斯市	地市级		蒙	
内蒙古	150700	呼伦贝尔市	地市级		蒙	
内蒙古	150800	巴彦淖尔市	地市级		蒙	
内蒙古	150900	乌兰察布市	地市级		蒙	
内蒙古	152200	兴安盟	地市级		蒙	
内蒙古	152500	锡林郭勒盟	地市级		蒙	
内蒙古	152900	阿拉善盟	地市级		蒙	
辽宁	210100	沈阳市	副省级		辽	√
辽宁	210200	大连市	副省级		辽	
辽宁	210300	鞍山市	地市级		辽	
辽宁	210400	抚顺市	地市级		辽	
辽宁	210500	本溪市	地市级		辽	
辽宁	210600	丹东市	地市级		辽	
辽宁	210700	锦州市	地市级		辽	
辽宁	210800	营口市	地市级		辽	
辽宁	210900	阜新市	地市级		辽	
辽宁	211000	辽阳市	地市级		辽	
辽宁	211100	盘锦市	地市级		辽	
辽宁	211200	铁岭市	地市级		辽	
辽宁	211300	朝阳市	地市级		辽	
辽宁	211400	葫芦岛市	地市级		辽	
吉林	220100	长春市	副省级		吉	√
吉林	220200	吉林市	地市级		吉	
吉林	220300	四平市	地市级		吉	
吉林	220400	辽源市	地市级		吉	
吉林	220500	通化市	地市级		吉	
吉林	220600	白山市	地市级		吉	
吉林	220700	松原市	地市级		吉	
吉林	220800	白城市	地市级		吉	
吉林	222400	延边朝鲜族自治州	地市级		吉	
黑龙江	230100	哈尔滨市	副省级		黑	√
黑龙江	230200	齐齐哈尔市	地市级		黑	
黑龙江	230300	鸡西市	地市级		黑	
黑龙江	230400	鹤岗市	地市级		黑	
黑龙江	230500	双鸭山市	地市级		黑	
黑龙江	230600	大庆市	地市级		黑	
黑龙江	230700	伊春市	地市级		黑	
黑龙江	230800	佳木斯市	地市级		黑	
黑龙江	230900	七台河市	地市级		黑	
黑龙江	231000	牡丹江市	地市级		黑	
黑龙江	231100	黑河市	地市级		黑	
黑龙江	231200	绥化市	地市级		黑	
黑龙江	232700	大兴安岭地区	地市级		黑	
江苏	320100	南京市	副省级		苏	√
江苏	320200	无锡市	地市级		苏	
江苏	320300	徐州市	地市级		苏	
江苏	320400	常州市	地市级		苏	
江苏	320500	苏州市	地市级		苏	
江苏	320600	南通市	地市级		苏	
江苏	320700	连云港市	地市级		苏	
江苏	320800	淮安市	地市级		苏	
江苏	320900	盐城市	地市级		苏	
江苏	321000	扬州市	地市级		苏	
江苏	321100	镇江市	地市级		苏	
江苏	321200	泰州市	地市级		苏	
江苏	321300	宿迁市	地市级		苏	
浙江	330100	杭州市	副省级		浙	√
浙江	330200	宁波市	副省级		浙	
浙江	330300	温州市	地市级		浙	
浙江	330400	嘉兴市	地市级		浙	
浙江	330500	湖州市	地市级		浙	
浙江	330600	绍兴市	地市级		浙	
浙江	330700	金华市	地市级		浙	
浙江	330800	衢州市	地市级		浙	
浙江	330900	舟山市	地市级		浙	
浙江	331000	台州市	地市级		浙	
浙江	331100	丽水市	地市级		浙	
安徽	340100	合肥市	地市级		皖	√
安徽	340200	芜湖市	地市级		皖	
安徽	340300	蚌埠市	地市级		皖	
安徽	340400	淮南市	地市级		皖	
安徽	340500	马鞍山市	地市级		皖	
安徽	340600	淮北市	地市级		皖	
安徽	340700	铜陵市	地市级		皖	
安徽	340800	安庆市	地市级		皖	
安徽	341000	黄山市	地市级		皖	
安徽	341100	滁州市	地市级		皖	
安徽	341200	阜阳市	地市级		皖	
安徽	341300	宿州市	地市级		皖	
安徽	341500	六安市	地市级		皖	
安徽	341600	亳州市	地市级		皖	
安徽	341700	池州市	地市级		皖	
安徽	341800	宣城市	地市级		皖	
福建	350100	福州市	地市级		闽	√
福建	350200	厦门市	副省级		闽	
福建	350300	莆田市	地市级		闽	
福建	350400	三明市	地市级		闽	
福建	350500	泉州市	地市级		闽	
福建	350600	漳州市	地市级		闽	
福建	350700	南平市	地市级		闽	
福建	350800	龙岩市	地市级		闽	
福建	350900	宁德市	地市级		闽	
江西	360100	南昌市	地市级		赣	√
江西	360200	景德镇市	地市级		赣	
江西	360300	萍乡市	地市级		赣	
江西	360400	九江市	地市级		赣	
江西	360500	新余市	地市级		赣	
江西	360600	鹰潭市	地市级		赣	
江西	360700	赣州市	地市级		赣	
江西	360800	吉安市	地市级		赣	
江西	360900	宜春市	地市级		赣	
江西	361000	抚州市	地市级		赣	
江西	361100	上饶市	地市级		赣	
山东	370100	济南市	副省级		鲁	√
山东	370200	青岛市	副省级		鲁	
山东	370300	淄博市	地市级		鲁	
山东	370400	枣庄市	地市级		鲁	
山东	370500	东营市	地市级		鲁	
山东	370600	烟台市	地市级		鲁	
山东	370700	潍坊市	地市级		鲁	
山东	370800	济宁市	地市级		鲁	
山东	370900	泰安市	地市级		鲁	
山东	371000	威海市	地市级		鲁	
山东	371100	日照市	地市级		鲁	
山东	371300	临沂市	地市级		鲁	
山东	371400	德州市	地市级		鲁	
山东	371500	聊城市	地市级		鲁	
山东	371600	滨州市	地市级		鲁	
山东	371700	菏泽市	地市级		鲁	
河南	410100	郑州市	地市级		豫	√
河南	410200	开封市	地市级		豫	
河南	410300	洛阳市	地市级		豫	
河南	410400	平顶山市	地市级		豫	
河南	410500	安阳市	地市级		豫	
河南	410600	鹤壁市	地市级		豫	
河南	410700	新乡市	地市级		豫	
河南	410800	焦作市	地市级		豫	
河南	410900	濮阳市	地市级		豫	
河南	411000	许昌市	地市级		豫	
河南	411100	漯河市	地市级		豫	
河南	411200	三门峡市	地市级		豫	
河南	411300	南阳市	地市级		豫	
河南	411400	商丘市	地市级		豫	
河南	411500	信阳市	地市级		豫	
河南	411600	周口市	地市级		豫	
河南	411700	驻马店市	地市级		豫	
湖北	420100	武汉市	副省级		鄂	√
湖北	420200	黄石市	地市级		鄂	
湖北	420300	十堰市	地市级		鄂	
湖北	420500	宜昌市	地市级		鄂	
湖北	420600	襄阳市	地市级		鄂	
湖北	420700	鄂州市	地市级		鄂	
湖北	420800	荆门市	地市级		鄂	
湖北	420900	孝感市	地市级		鄂	
湖北	421000	荆州市	地市级		鄂	
湖北	421100	黄冈市	地市级		鄂	
湖北	421200	咸宁市	地市级		鄂	
湖北	421300	随州市	地市级		鄂	
湖北	422800	恩施土家族苗族自治州	地市级		鄂	
湖南	430100	长沙市	地市级		湘	√
湖南	430200	株洲市	地市级		湘	
湖南	430300	湘潭市	地市级		湘	
湖南	430400	衡阳市	地市级		湘	
湖南	430500	邵阳市	地市级		湘	
湖南	430600	岳阳市	地市级		湘	
湖南	430700	常德市	地市级		湘	
湖南	430800	张家界市	地市级		湘	
湖南	430900	益阳市	地市级		湘	
湖南	431000	郴州市	地市级		湘	
湖南	431100	永州市	地市级		湘	
湖南	431200	怀化市	地市级		湘	
湖南	431300	娄底市	地市级		湘	
湖南	433100	湘西土家族苗族自治州	地市级		湘	
广东	440100	广州市	副省级		粤	√
广东	440200	韶关市	地市级		粤	
广东	440300	深圳市	副省级		粤	
广东	440400	珠海市	地市级		粤	
广东	440500	汕头市	地市级		粤	
广东	440600	佛山市	地市级		粤	
广东	440700	江门市	地市级		粤	
广东	440800	湛江市	地市级		粤	
广东	440900	茂名市	地市级		粤	
广东	441200	肇庆市	地市级		粤	
广东	441300	惠州市	地市级		粤	
广东	441400	梅州市	地市级		粤	
广东	441500	汕尾市	地市级		粤	
广东	441600	河源市	地市级		粤	
广东	441700	阳江市	地市级		粤	
广东	441800	清远市	地市级		粤	
广东	441900	东莞市	地市级		粤	
广东	442000	中山市	地市级		粤	
广东	445100	潮州市	地市级		粤	
广东	445200	揭阳市	地市级		粤	
广东	445300	云浮市	地市级		粤	
广西	450100	南宁市	地市级		桂	√
广西	450200	柳州市	地市级		桂	
广西	450300	桂林市	地市级		桂	
广西	450400	梧州市	地市级		桂	
广西	450500	北海市	地市级		桂	
广西	450600	防城港市	地市级		桂	
广西	450700	钦州市	地市级		桂	
广西	450800	贵港市	地市级		桂	
广西	450900	玉林市	地市级		桂	
广西	451000	百色市	地市级		桂	
广西	451100	贺州市	地市级		桂	
广西	451200	河池市	地市级		桂	
广西	451300	来宾市	地市级		桂	
广西	451400	崇左市	地市级		桂	
海南	460100	海口市	地市级		琼	√
海南	460200	三亚市	地市级		琼	
海南	460300	三沙市	地市级		琼	
海南	460400	儋州市	地市级		琼	
四川	510100	成都市	副省级		川	√
四川	510300	自贡市	地市级		川	
四川	510400	攀枝花市	地市级		川	
四川	510500	泸州市	地市级		川	
四川	510600	德阳市	地市级		川	
四川	510700	绵阳市	地市级		川	
四川	510800	广元市	地市级		川	
四川	510900	遂宁市	地市级		川	
四川	511000	内江市	地市级		川	
四川	511100	乐山市	地市级		川	
四川	511300	南充市	地市级		川	
四川	511400	眉山市	地市级		川	
四川	511500	宜宾市	地市级		川	
四川	511600	广安市	地市级		川	
四川	511700	达州市	地市级		川	
四川	511800	雅安市	地市级		川	
四川	511900	巴中市	地市级		川	
四川	512000	资阳市	地市级		川	
四川	513200	阿坝藏族羌族自治州	地市级		川	
四川	513300	甘孜藏族自治州	地市级		川	
四川	513400	凉山彝族自治州	地市级		川	
贵州	520100	贵阳市	地市级		贵	√
贵州	520200	六盘水市	地市级		贵	
贵州	520300	遵义市	地市级		贵	
贵州	520400	安顺市	地市级		贵	
贵州	520500	毕节市	地市级		贵	
贵州	520600	铜仁市	地市级		贵	
贵州	522300	黔西南布依族苗族自治州	地市级		贵	
贵州	522600	黔东南苗族侗族自治州	地市级		贵	
贵州	522700	黔南布依族苗族自治州	地市级		贵	
云南	530100	昆明市	地市级		云	√
云南	530300	曲靖市	地市级		云	
云南	530400	玉溪市	地市级		云	
云南	530500	保山市	地市级		云	
云南	530600	昭通市	地市级		云	
云南	530700	丽江市	地市级		云	
云南	530800	普洱市	地市级		云	
云南	530900	临沧市	地市级		云	
云南	532300	楚雄彝族自治州	地市级		云	
云南	532500	红河哈尼族彝族自治州	地市级		云	
云南	532600	文山壮族苗族自治州	地市级		云	
云南	532800	西双版纳傣族自治州	地市级		云	
云南	532900	大理白族自治州	地市级		云	
云南	533100	德宏傣族景颇族自治州	地市级		云	
云南	533300	怒江傈僳族自治州	地市级		云	
云南	533400	迪庆藏族自治州	地市级		云	
西藏	540100	拉萨市	地市级		藏	√
西藏	540200	日喀则市	地市级		藏	
西藏	540300	昌都市	地市级		藏	
西藏	540400	林芝市	地市级		藏	
西藏	540500	山南市	地市级		藏	
西藏	540600	那曲市	地市级		藏	
西藏	542500	阿里地区	地市级		藏	
陕西	610100	西安市	副省级		陕	√
陕西	610200	铜川市	地市级		陕	
陕西	610300	宝鸡市	地市级		陕	
陕西	610400	咸阳市	地市级		陕	
陕西	610500	渭南市	地市级		陕	
陕西	610600	延安市	地市级		陕	
陕西	610700	汉中市	地市级		陕	
陕西	610800	榆林市	地市级		陕	
陕西	610900	安康市	地市级		陕	
陕西	611000	商洛市	地市级		陕	
甘肃	620100	兰州市	地市级		甘	√
甘肃	620200	嘉峪关市	地市级		甘	
甘肃	620300	金昌市	地市级		甘	
甘肃	620400	白银市	地市级		甘	
甘肃	620500	天水市	地市级		甘	
甘肃	620600	武威市	地市级		甘	
甘肃	620700	张掖市	地市级		甘	
甘肃	620800	平凉市	地市级		甘	
甘肃	620900	酒泉市	地市级		甘	
甘肃	621000	庆阳市	地市级		甘	
甘肃	621100	定西市	地市级		甘	
甘肃	621200	陇南市	地市级		甘	
甘肃	622900	临夏回族自治州	地市级		甘	
甘肃	623000	甘南藏族自治州	地市级		甘	
青海	630100	西宁市	地市级		青	√
青海	630200	海东市	地市级		青	
青海	632200	海北藏族自治州	地市级		青	
青海	632300	黄南藏族自治州	地市级		青	
